Tempo execução determinante 
teste, LaPlace, Chio, Eliminacao Gauss 
530, 23234, 2060, 840
531, 23389, 2195, 865
532, 23494, 2275, 880
533, 23285, 2170, 850
534, 250094, 2505, 920
535, 23739, 2160, 955
536, 23619, 2350, 46814
537, 24295, 2335, 914
538, 23355, 2185, 835
539, 23809, 2185, 840
540, 23474, 2130, 870
541, 23774, 2115, 880
542, 23520, 2120, 825
543, 23845, 2154, 850
544, 23559, 2235, 845
545, 23474, 2150, 875
546, 23635, 2230, 900
547, 23670, 2155, 854
548, 23454, 2205, 835
549, 23759, 2175, 805
550, 23379, 2175, 875
551, 23370, 2165, 870
552, 23624, 2194, 814
553, 23484, 2130, 835
554, 23674, 2115, 805
555, 23419, 2135, 850
556, 23679, 2065, 870
557, 23550, 2100, 840
558, 23670, 2230, 834
559, 23514, 2260, 900
560, 23414, 2160, 875
561, 23585, 2185, 900
562, 23395, 2130, 890
563, 23354, 2180, 850
564, 23654, 2155, 815
565, 23389, 2150, 850
566, 23285, 2160, 860
567, 23815, 2140, 805
568, 23410, 2226, 830
569, 23639, 2130, 810
570, 23414, 2160, 840
571, 23679, 2110, 875
572, 23529, 2115, 820
573, 23740, 2155, 825
574, 23449, 2229, 895
575, 23449, 2150, 860
576, 23734, 2195, 925
577, 23445, 2125, 860
578, 23400, 2220, 824
579, 23700, 2165, 820
580, 23314, 2145, 855
581, 23289, 2145, 855
582, 23509, 2180, 825
583, 23494, 2130, 840
584, 23535, 2115, 814
585, 23365, 2155, 845
586, 23474, 2100, 865
587, 23469, 2090, 820
588, 23565, 2220, 820
589, 23440, 2245, 855
590, 23445, 2164, 846
591, 23629, 2195, 940
592, 23459, 2115, 870
593, 23399, 2180, 845
594, 23664, 2145, 825
595, 23370, 2135, 890
596, 23345, 2160, 860
597, 23649, 2130, 815
598, 23519, 2220, 860
599, 23599, 2115, 815
600, 23325, 2155, 850
601, 23585, 2080, 845
602, 23414, 2100, 830
603, 23624, 2150, 835
604, 23414, 2235, 870
605, 23474, 2150, 850
606, 23574, 2205, 915
607, 23415, 2145, 875
608, 23344, 2210, 824
609, 23669, 2120, 850
610, 23349, 2155, 890
611, 23284, 2175, 865
612, 23535, 2190, 815
613, 23425, 2130, 834
614, 161856, 2295, 865
615, 23489, 2224, 886
616, 23689, 2090, 865
617, 23559, 2155, 835
618, 23634, 2225, 830
619, 23619, 2255, 875
620, 23470, 2145, 860
621, 23594, 2170, 894
622, 23459, 2150, 875
623, 23434, 2215, 840
624, 23789, 2180, 825
625, 23459, 2145, 845
626, 23350, 2145, 864
627, 23700, 2194, 800
628, 23434, 2260, 875
629, 23669, 2125, 790
630, 23325, 2150, 840
631, 23655, 2115, 870
632, 23455, 2110, 830
633, 23689, 2150, 820
634, 23489, 2215, 865
635, 23399, 2155, 870
636, 23590, 2185, 920
637, 23490, 2120, 864
638, 23309, 2210, 850
639, 23724, 2180, 800
640, 23354, 2145, 855
641, 23384, 2140, 855
642, 23685, 2210, 825
643, 23550, 2126, 834
644, 23609, 2110, 800
645, 23434, 2155, 845
646, 23589, 2085, 850
647, 23489, 2105, 820
648, 23565, 2225, 809
649, 23465, 2246, 835
650, 23459, 2150, 845
651, 23624, 2200, 905
652, 23469, 2135, 865
653, 23455, 2200, 840
654, 23694, 2160, 790
655, 23394, 2200, 59449
656, 23505, 2234, 894
657, 23879, 2175, 810
658, 23604, 2230, 845
659, 23730, 2140, 800
660, 23415, 2165, 835
661, 23580, 2080, 834
662, 23460, 2100, 820
663, 23669, 2155, 830
664, 23414, 2260, 830
665, 23529, 2150, 850
666, 23615, 2210, 900
667, 23455, 2114, 866
668, 23370, 2185, 830
669, 23669, 2110, 850
670, 23429, 2155, 880
671, 23355, 2165, 855
672, 23705, 2145, 790
673, 23500, 2125, 810
674, 23539, 2110, 800
675, 23404, 2150, 850
676, 23514, 2090, 860
677, 23500, 2110, 835
678, 23600, 2244, 834
679, 23540, 2255, 850
680, 23489, 2150, 860
681, 23654, 2180, 895
682, 23449, 2135, 885
683, 23450, 2200, 840
684, 23710, 2116, 794
685, 23409, 2140, 840
686, 23334, 2155, 835
687, 23724, 2185, 800
688, 23405, 2235, 810
689, 23680, 2144, 796
690, 23374, 2155, 835
691, 23724, 2105, 860
692, 23449, 2095, 830
693, 23610, 2150, 825
694, 23520, 2214, 880
695, 23405, 2145, 860
696, 72748, 2300, 940
697, 23520, 2180, 874
698, 23384, 2165, 850
699, 23714, 2150, 790
700, 23294, 2145, 850
701, 23384, 2135, 850
702, 23715, 2185, 819
703, 23485, 2130, 834
704, 23544, 2125, 785
705, 23414, 2150, 835
706, 23665, 2100, 845
707, 23500, 2080, 820
708, 23620, 2225, 810
709, 23540, 2234, 885
710, 23449, 2155, 850
711, 23679, 2205, 920
712, 23474, 2150, 855
713, 23390, 2185, 905
714, 23740, 2144, 814
715, 23429, 2130, 890
716, 23339, 2160, 865
717, 23759, 2135, 795
718, 23505, 2215, 830
719, 23680, 2119, 810
720, 23324, 2144, 835
721, 23499, 2080, 840
722, 23574, 2085, 820
723, 23654, 2125, 815
724, 23480, 2230, 860
725, 23490, 2134, 856
726, 23550, 2205, 900
727, 23469, 2120, 845
728, 23424, 2195, 840
729, 23805, 2150, 845
730, 23360, 2144, 880
731, 23385, 2166, 849
732, 23584, 2140, 795
733, 23519, 2135, 820
734, 23569, 2115, 790
735, 23410, 2150, 850
736, 23549, 2080, 856
737, 23489, 2115, 835
738, 23589, 2230, 825
739, 23534, 2245, 835
740, 23415, 2165, 840
741, 23634, 2170, 880
742, 23449, 2145, 865
743, 23439, 2180, 825
744, 23739, 2155, 805
745, 23419, 2140, 830
746, 23320, 2135, 850
747, 124682, 2380, 865
748, 23480, 2300, 896
749, 23629, 2140, 800
750, 23414, 2170, 845
751, 23715, 2120, 875
752, 23460, 2105, 815
753, 23665, 2140, 814
754, 23494, 2215, 865
755, 23414, 2130, 860
756, 23724, 2185, 905
757, 23439, 2125, 865
758, 23330, 2210, 840
759, 23595, 2116, 840
760, 23379, 2160, 855
761, 23379, 2150, 855
762, 23540, 2130, 810
763, 23460, 2120, 835
764, 23630, 2139, 794
765, 23414, 2154, 840
766, 23489, 2100, 840
767, 23479, 2085, 820
768, 23514, 2215, 810
769, 23445, 2240, 865
770, 23400, 2166, 850
771, 23689, 2190, 910
772, 23484, 2110, 865
773, 23484, 2180, 840
774, 23709, 2130, 835
775, 23465, 2165, 895
776, 23389, 2166, 876
777, 23939, 2215, 810
778, 1438893, 6340, 1605
779, 24709, 2245, 935
780, 23654, 2235, 910
781, 23885, 2120, 905
782, 23630, 2100, 846
783, 23784, 2145, 835
784, 23769, 2245, 855
785, 23734, 2155, 860
786, 23745, 2215, 930
787, 23589, 2196, 860
788, 23449, 2205, 840
789, 23914, 2180, 845
790, 23515, 2145, 880
791, 23384, 2159, 845
792, 23764, 2205, 810
793, 23569, 2105, 825
794, 23645, 2090, 820
795, 23430, 2150, 870
796, 23539, 2060, 885
797, 23579, 2145, 855
798, 23675, 2215, 845
799, 23655, 2234, 854
800, 23424, 2145, 870
801, 23694, 2165, 895
802, 23560, 2140, 905
803, 23450, 2190, 850
804, 23735, 2100, 830
805, 23434, 2135, 840
806, 23375, 2125, 870
807, 23955, 2115, 810
808, 23475, 2199, 824
809, 23634, 2110, 815
810, 23394, 2160, 860
811, 23645, 2085, 880
812, 23460, 2090, 830
813, 23655, 2160, 830
814, 23544, 2190, 900
815, 23354, 2125, 870
816, 23560, 2165, 915
817, 23495, 2095, 875
818, 23335, 2190, 856
819, 23664, 2145, 805
820, 23379, 2135, 850
821, 23359, 2140, 865
822, 23555, 2120, 825
823, 23550, 2119, 830
824, 23545, 2089, 800
825, 23424, 2135, 855
826, 23659, 2090, 855
827, 23530, 2060, 825
828, 23570, 2205, 820
829, 23445, 2256, 850
830, 29839, 2690, 1465
831, 23710, 2236, 935
832, 23614, 2140, 850
833, 23399, 2185, 840
834, 24034, 2164, 810
835, 23459, 2160, 855
836, 23359, 2160, 875
837, 23865, 2155, 795
838, 23585, 2225, 855
839, 23780, 2150, 810
840, 23344, 2140, 845
841, 23694, 2065, 845
842, 23499, 2080, 830
843, 23584, 2125, 830
844, 23525, 2230, 830
845, 23459, 2130, 850
846, 23559, 2180, 900
847, 23564, 2100, 855
848, 23980, 2300, 879
849, 23969, 2180, 880
850, 23429, 2140, 895
851, 23449, 2145, 840
852, 23625, 2160, 810
853, 23500, 2105, 825
854, 23624, 2100, 806
855, 23474, 2135, 855
856, 23569, 2055, 870
857, 79028, 2240, 880
858, 23749, 2275, 850
859, 23609, 2245, 840
860, 23575, 2135, 875
861, 23700, 2155, 910
862, 23504, 2120, 880
863, 23429, 2180, 855
864, 23744, 2145, 810
865, 23379, 2115, 835
866, 23480, 2115, 865
867, 23735, 2115, 804
868, 23434, 2215, 825
869, 23604, 2105, 815
870, 23384, 2145, 835
871, 23690, 2100, 865
872, 23485, 2090, 820
873, 23634, 2130, 820
874, 23629, 2225, 835
875, 23369, 2130, 860
876, 23724, 2205, 905
877, 23525, 2180, 835
878, 23310, 2206, 850
879, 23585, 2109, 810
880, 23364, 2135, 845
881, 23414, 2110, 860
882, 23700, 2130, 825
883, 23535, 2110, 840
884, 23604, 2116, 794
885, 23389, 2145, 840
886, 23544, 2085, 845
887, 23479, 2115, 820
888, 23485, 2210, 825
889, 23479, 2244, 880
890, 23409, 2145, 855
891, 23719, 2190, 920
892, 23499, 2105, 855
893, 23459, 2170, 835
894, 23740, 2130, 810
895, 23359, 2124, 846
896, 23369, 2135, 865
897, 23844, 2115, 800
898, 23535, 2215, 860
899, 23625, 2115, 825
900, 23350, 2150, 840
901, 23719, 2065, 850
902, 23449, 2080, 830
903, 23634, 2130, 830
904, 23560, 2230, 840
905, 23440, 2136, 854
906, 23584, 2185, 905
907, 23484, 2110, 865
908, 23399, 2195, 835
909, 23704, 2150, 850
910, 23425, 2130, 880
911, 23324, 2154, 856
912, 23599, 2120, 810
913, 23439, 2115, 825
914, 23945, 2095, 800
915, 23385, 2190, 845
916, 23865, 2096, 866
917, 23549, 2105, 840
918, 23649, 2225, 840
919, 23550, 2235, 850
920, 23420, 2135, 860
921, 23634, 2164, 896
922, 23464, 2140, 880
923, 23389, 2195, 855
924, 23644, 2155, 850
925, 23375, 2120, 875
926, 23370, 2149, 880
927, 23814, 2119, 805
928, 23434, 2215, 870
929, 23644, 2100, 805
930, 24309, 2255, 900
931, 23620, 2105, 884
932, 23619, 2104, 835
