Tempo execução determinante 
teste, LaPlace, Chio, Eliminacao Gauss 
591, 8392762, 41739, 7345
592, 8381626, 41919, 7475
593, 8376002, 41704, 7535
594, 8377456, 41815, 7409
595, 8374797, 41909, 7610
596, 8376777, 41774, 7475
597, 8387252, 42449, 7510
598, 8386377, 41949, 7390
599, 8387946, 41739, 7480
600, 8387027, 41824, 7415
601, 8376547, 41764, 7385
602, 8380282, 41589, 7575
603, 8381972, 41884, 7350
604, 8376967, 41604, 7435
605, 8381267, 42024, 7475
606, 8381622, 41764, 7585
607, 8381907, 41790, 7515
608, 8382497, 41724, 7475
609, 8383037, 42090, 7490
610, 8396952, 41904, 7470
611, 8385352, 41775, 7405
612, 8390457, 41834, 7660
613, 8384471, 41744, 7505
614, 8377877, 41924, 7580
615, 8406020, 42419, 7470
616, 8382972, 41864, 7420
617, 8406112, 44715, 8224
618, 8519948, 48269, 8640
619, 8559594, 43805, 8180
620, 8393946, 41959, 7450
621, 8384352, 42939, 7635
622, 8389836, 41744, 7365
623, 8378282, 41949, 7325
624, 8382617, 41759, 7530
625, 8378352, 41740, 7404
626, 8380532, 42030, 7364
627, 8383417, 41889, 7374
628, 8380122, 42259, 7435
629, 8382386, 41779, 7530
630, 8392087, 42054, 7390
631, 8382377, 41834, 7565
632, 8379197, 41649, 7449
633, 8384457, 42034, 7415
634, 8384906, 41574, 7380
635, 8373807, 41749, 7500
636, 8377961, 41740, 7490
637, 8386107, 41864, 7410
638, 8385142, 41649, 7620
639, 8383962, 41639, 7555
640, 8381841, 41999, 7454
641, 8380892, 41729, 7600
642, 8379387, 42305, 7524
643, 8381917, 41649, 7374
644, 8383707, 41874, 7340
645, 8377147, 42199, 7415
646, 8388551, 42084, 7370
647, 8390212, 41889, 7375
648, 8381922, 41884, 7365
649, 8595603, 42764, 7455
650, 8383332, 41949, 7515
651, 8401232, 41709, 7465
652, 8382577, 42179, 7560
653, 8386976, 41929, 7490
654, 8380367, 41935, 7399
655, 8391546, 42144, 7470
656, 8383772, 42225, 7354
657, 8382706, 41844, 7590
658, 8388947, 41739, 7430
659, 8384712, 41864, 7320
660, 8383992, 41949, 7490
661, 8384197, 41619, 7389
662, 8393261, 42289, 7549
663, 8382372, 41824, 7490
664, 8385341, 41609, 7395
665, 8380002, 41784, 7380
666, 8385441, 41939, 7395
667, 8377862, 41739, 7375
668, 8380827, 41800, 7465
669, 8376182, 41819, 7595
670, 8385827, 41984, 7439
671, 8390476, 41634, 7465
672, 8387272, 42524, 7385
673, 8382107, 41714, 7595
674, 8376477, 41839, 7574
675, 8380547, 42029, 7370
676, 8400606, 42244, 7395
677, 8382242, 41964, 7440
678, 8397752, 42140, 7485
679, 8380757, 41820, 7374
680, 8381957, 41789, 7440
681, 8378071, 42049, 7530
682, 8380267, 41799, 7390
683, 8381241, 41939, 7430
684, 8382417, 41524, 7450
685, 8379561, 41974, 7570
686, 8385802, 41824, 7435
687, 8381032, 41794, 7415
688, 8450570, 45499, 8310
689, 8602223, 44425, 8070
690, 8406766, 41999, 7380
691, 8376387, 42584, 7530
692, 8385506, 42274, 7420
693, 8394796, 42000, 7340
694, 8387747, 41759, 7320
695, 8381002, 41860, 7430
696, 8381842, 41789, 7440
697, 8382857, 41564, 7345
698, 8378352, 42289, 7530
699, 8395701, 41964, 7370
700, 8383782, 41914, 7409
701, 8394066, 41645, 7460
702, 8727510, 43394, 7560
703, 8380691, 41935, 7600
704, 8381657, 41979, 7490
705, 8391501, 41649, 7500
706, 8388306, 41754, 7445
707, 8373157, 41874, 7430
708, 8381511, 41749, 7404
709, 8386942, 41589, 7385
710, 8384966, 42045, 7539
711, 8377617, 41769, 7375
712, 8391011, 41854, 7275
713, 8377597, 41584, 7365
714, 8383971, 41754, 7414
715, 8376962, 42014, 7375
716, 8383797, 42189, 7519
717, 8388031, 41939, 7480
718, 8377407, 42039, 7500
719, 8381831, 41714, 7354
720, 8383102, 41749, 7390
721, 8386907, 41839, 7450
722, 8383252, 42199, 7510
723, 8378243, 42210, 7399
